id,title_original,title_original_lang,title_en,title_ja,year_made,content_type,country_origin
602,101 Dalmatians,en,,１０１匹わんちゃん,1961,Film,
603,12 Angry Men,en,,十二人の怒れる男,1957,Film,
604,2001: A Space Odyssey,en,,２００１年宇宙の旅,1968,Film,
605,2010: The Year We Make Contact,en,,２０１０年,1984,Film,
606,55 Days at Peking,en,,北京の５５日,1963,Film,
607,8½,en,,フェリーニの8½,1963,Film,
608,A Boy Named Charlie Brown,en,,スヌーピーとチャーリー,1969,Film,
609,A Farewell to Arms,en,,戦場よさらば,1932,Film,
610,A Few Good Men,en,,ア・フュー・グッドメン,1992,Film,US
611,A League of Their Own,en,,プリティ・リーグ,1992,Film,
612,A Man For All Seasons,en,,わが命つきるとも,1966,Film,
613,A Nightmare on Elm Street 3: Dream Warriors,en,,エルム街の悪夢３ 惨劇の館,1987,Film,
614,A Perfect World,en,,パーフェクト・ワールド,1993,Film,
615,A River Runs Through It,en,,リバー・ランズ・スルー・イット,1992,Film,
616,A Soldier's Story,en,,ソルジャー・ストーリー,1984,Film,
617,A Streetcar Named Desire,en,,欲望という名の電車,1951,Film,
618,A Time to Die,en,,地獄から帰った男 タイムダイ,1982,Film,
619,A View to a Kill,en,,007／美しき獲物たち,1985,Film,
620,A Walt Disney Christmas,en,,ディズニーのホワイト・クリスマス [Disney's White Christmas],1982,Film,
